epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6054626703262329,1.3968302011489868,1e-04,0.8610289096832275,0.4629518687725067
1,0.8090618252754211,0.6077007055282593,1e-04,0.8976781368255615,0.33050721883773804
2,0.8440713882446289,0.4824505150318146,1e-04,0.9150921702384949,0.27478542923927307
3,0.8647414445877075,0.420465350151062,1e-04,0.921636700630188,0.24957585334777832
4,0.8747990727424622,0.38254809379577637,1e-04,0.9259617328643799,0.2320394515991211
5,0.8840031027793884,0.3523663282394409,1e-04,0.9313681125640869,0.21385149657726288
6,0.8911586999893188,0.3332429528236389,1e-04,0.9354655146598816,0.20364953577518463
7,0.8949000835418701,0.3193386197090149,1e-04,0.9347257018089294,0.19851769506931305
8,0.8999359607696533,0.3018915057182312,1e-04,0.9372296929359436,0.19084985554218292
9,0.9015577435493469,0.2965089678764343,1e-04,0.9403027296066284,0.18480341136455536
